material_id,formula,src_elem,dst_elem,hetero,distance,gate_layer1,gate_layer2,gate_layer3,gate_final_layer,gate_mean_all_layers
mp-1219385,Sm14Au51,Sm,Au,True,3.05046286172941,0.40240029,0.32980645,0.3512581,0.3512581,0.36115494
mp-1219385,Sm14Au51,Sm,Au,True,3.0504628617294105,0.40240029,0.33329454,0.35020858,0.35020858,0.3619678
mp-1219385,Sm14Au51,Sm,Au,True,3.0946936749580543,0.40230012,0.33035702,0.3508833,0.3508833,0.36118016
mp-1219385,Sm14Au51,Sm,Au,True,3.0946936749580547,0.40230012,0.33035702,0.35082495,0.35082495,0.36116067
mp-1219385,Sm14Au51,Sm,Au,True,3.137708551829893,0.40235153,0.3307705,0.35070437,0.35070437,0.36127543
mp-1219385,Sm14Au51,Sm,Au,True,3.137708551829893,0.40235153,0.3307705,0.35027158,0.35027158,0.3611312
mp-1219385,Sm14Au51,Sm,Au,True,3.1881661787565077,0.4023142,0.3338835,0.35113406,0.35113406,0.36244392
mp-1219385,Sm14Au51,Sm,Au,True,3.2507536687520306,0.40196455,0.3402599,0.36188394,0.36188394,0.36803612
mp-1219385,Sm14Au51,Sm,Au,True,3.282306036691631,0.4017626,0.33482274,0.36108595,0.36108595,0.3658904
mp-1219385,Sm14Au51,Sm,Au,True,3.282306036691631,0.4017626,0.33234197,0.35522753,0.35522753,0.3631107
mp-1219385,Sm14Au51,Sm,Au,True,3.0408785095010953,0.40246633,0.32928324,0.36035743,0.36035743,0.36403564
mp-1219385,Sm14Au51,Sm,Au,True,3.0408785095010957,0.40246633,0.32928324,0.35916966,0.35916966,0.36363974
mp-1219385,Sm14Au51,Sm,Au,True,3.0504386321289645,0.4024004,0.32980675,0.35150194,0.35150194,0.36123636
mp-1219385,Sm14Au51,Sm,Au,True,3.0504386321289645,0.4024004,0.32980675,0.35111222,0.35111222,0.3611065
mp-1219385,Sm14Au51,Sm,Au,True,3.0947172365528837,0.4023001,0.3303572,0.35061604,0.35061604,0.36109114
mp-1219385,Sm14Au51,Sm,Au,True,3.0947172365528837,0.4023001,0.3336272,0.35014382,0.35014382,0.3620237
mp-1219385,Sm14Au51,Sm,Au,True,3.137641200583189,0.40235147,0.33076924,0.35064945,0.35064945,0.36125672
mp-1219385,Sm14Au51,Sm,Au,True,3.137641200583189,0.40235147,0.33076924,0.34986842,0.34986842,0.36099637
mp-1219385,Sm14Au51,Sm,Au,True,3.188076592461047,0.40231445,0.33388284,0.35151598,0.35151598,0.3625711
mp-1219385,Sm14Au51,Sm,Au,True,3.2506978104428077,0.40196493,0.3402597,0.36151505,0.36151505,0.36791325
mp-1219385,Sm14Au51,Sm,Au,True,3.2823277043725834,0.4017625,0.3348223,0.36119783,0.36119783,0.36592755
mp-1219385,Sm14Au51,Sm,Au,True,3.2823277043725834,0.4017625,0.33234134,0.355186,0.355186,0.3630966
mp-1219385,Sm14Au51,Sm,Au,True,3.0397206381451,0.40247566,0.32964638,0.3692432,0.3692432,0.3671218
mp-1219385,Sm14Au51,Sm,Au,True,3.0397206381451,0.40247566,0.32964638,0.3696275,0.3696275,0.36724985
mp-1219385,Sm14Au51,Sm,Au,True,3.178801402276699,0.4023385,0.32570106,0.35184625,0.35184625,0.35996196
mp-1219385,Sm14Au51,Sm,Au,True,3.178801402276699,0.4023385,0.32570106,0.35179663,0.35179663,0.3599454
mp-1219385,Sm14Au51,Sm,Au,True,3.180404632073106,0.40233496,0.326865,0.35464633,0.35464633,0.3612821
mp-1219385,Sm14Au51,Sm,Au,True,3.180404632073107,0.40233496,0.326865,0.35464633,0.35464633,0.3612821
mp-1219385,Sm14Au51,Sm,Au,True,3.2033814594594876,0.40225607,0.32863635,0.3448266,0.3448266,0.358573
mp-1219385,Sm14Au51,Sm,Au,True,3.2033814594594876,0.40225607,0.32863635,0.34485757,0.34485757,0.35858333
mp-1219385,Sm14Au51,Sm,Au,True,3.2652465128846346,0.4018655,0.3280108,0.35233027,0.35233027,0.3607355
mp-1219385,Sm14Au51,Sm,Au,True,3.2652465128846346,0.4018655,0.3312458,0.35945874,0.35945874,0.36419
mp-1219385,Sm14Au51,Sm,Au,True,3.2740330042451085,0.4018098,0.33102778,0.35823423,0.35823423,0.3636906
mp-1219385,Sm14Au51,Sm,Au,True,3.279700356463384,0.40177682,0.32828942,0.3526101,0.3526101,0.36089215
mp-1219385,Sm14Au51,Sm,Au,True,3.0397379921915544,0.4024755,0.3562898,0.36068246,0.36068246,0.37314928
mp-1219385,Sm14Au51,Sm,Au,True,3.0397379921915544,0.4024755,0.3562898,0.36088955,0.36088955,0.3732183
mp-1219385,Sm14Au51,Sm,Au,True,3.17880729280619,0.40233847,0.34876996,0.3462441,0.3462441,0.36578417
mp-1219385,Sm14Au51,Sm,Au,True,3.1788072928061903,0.40233847,0.34876996,0.34624758,0.34624758,0.36578533
mp-1219385,Sm14Au51,Sm,Au,True,3.1804254617625567,0.40233493,0.3507449,0.35000634,0.35000634,0.36769542
mp-1219385,Sm14Au51,Sm,Au,True,3.1804254617625567,0.40233493,0.3507449,0.35000634,0.35000634,0.36769542
mp-1219385,Sm14Au51,Sm,Au,True,3.2033487454527863,0.40225622,0.346096,0.34126592,0.34126592,0.36320606
mp-1219385,Sm14Au51,Sm,Au,True,3.2033487454527867,0.40225622,0.34609604,0.3409198,0.3409198,0.36309066
mp-1219385,Sm14Au51,Sm,Au,True,3.2651883838722036,0.4018659,0.35060573,0.34685743,0.34685743,0.366443
mp-1219385,Sm14Au51,Sm,Au,True,3.2651883838722036,0.4018659,0.35622048,0.35225803,0.35225803,0.3701148
mp-1219385,Sm14Au51,Sm,Au,True,3.273771211584312,0.4018114,0.35454997,0.3515427,0.3515427,0.36930135
mp-1219385,Sm14Au51,Sm,Au,True,3.2796884048217523,0.40177688,0.35082957,0.34729677,0.34729677,0.3666344
mp-1219385,Sm14Au51,Sm,Au,True,3.0397390379756413,0.40247548,0.32964626,0.3697374,0.3697374,0.36728635
mp-1219385,Sm14Au51,Sm,Au,True,3.0397390379756417,0.40247548,0.32964626,0.3693267,0.3693267,0.36714947
mp-1219385,Sm14Au51,Sm,Au,True,3.1788432637170354,0.40233842,0.325701,0.35199088,0.35199088,0.36001006
mp-1219385,Sm14Au51,Sm,Au,True,3.1788432637170354,0.40233842,0.325701,0.3521393,0.3521393,0.3600596
mp-1219385,Sm14Au51,Sm,Au,True,3.180351553646836,0.40233505,0.3268639,0.35471183,0.35471183,0.36130357
mp-1219385,Sm14Au51,Sm,Au,True,3.180351553646836,0.40233505,0.3268639,0.3550424,0.3550424,0.3614138
mp-1219385,Sm14Au51,Sm,Au,True,3.203354831561205,0.40225616,0.33199054,0.34322235,0.34322235,0.35915637
mp-1219385,Sm14Au51,Sm,Au,True,3.2033548315612053,0.40225616,0.3286351,0.34519395,0.34519395,0.35869506
mp-1219385,Sm14Au51,Sm,Au,True,3.2653188299738067,0.40186504,0.3280117,0.35318178,0.35318178,0.36101952
mp-1219385,Sm14Au51,Sm,Au,True,3.2653188299738067,0.40186504,0.3312474,0.35986206,0.35986206,0.36432484
mp-1219385,Sm14Au51,Sm,Au,True,3.2738033812053886,0.40181118,0.33102372,0.358612,0.358612,0.36381564
mp-1219385,Sm14Au51,Sm,Au,True,3.279829007861371,0.40177608,0.32829225,0.35277277,0.35277277,0.36094704
mp-1219385,Sm14Au51,Sm,Au,True,2.926037188326556,0.40505245,0.3314572,0.36454275,0.36454275,0.36701748
mp-1219385,Sm14Au51,Sm,Au,True,3.126121257989315,0.40233672,0.32822287,0.35660583,0.35660583,0.36238846
mp-1219385,Sm14Au51,Sm,Au,True,3.1424933604298464,0.40235618,0.3262095,0.3516882,0.3516882,0.36008462
mp-1219385,Sm14Au51,Sm,Au,True,3.1424933604298464,0.40235618,0.3281244,0.35939708,0.35939708,0.36329255
mp-1219385,Sm14Au51,Sm,Au,True,3.1605042529779457,0.40236112,0.32612193,0.35065547,0.35065547,0.35971284
mp-1219385,Sm14Au51,Sm,Au,True,3.1605042529779457,0.40236112,0.32612196,0.35069335,0.35069335,0.35972548
mp-1219385,Sm14Au51,Sm,Au,True,3.1642265914404772,0.402359,0.3271689,0.3551499,0.3551499,0.36155927
mp-1219385,Sm14Au51,Sm,Au,True,3.1642265914404772,0.402359,0.3271689,0.3551499,0.3551499,0.36155927
mp-1219385,Sm14Au51,Sm,Au,True,3.1749343974846926,0.40234596,0.32920277,0.34494174,0.34494174,0.35883012
mp-1219385,Sm14Au51,Sm,Au,True,3.174934397484693,0.40234596,0.32920277,0.34487104,0.34487104,0.3588066
mp-1219385,Sm14Au51,Sm,Au,True,3.2266048861330314,0.40212807,0.32758963,0.35010862,0.35010862,0.3599421
mp-1219385,Sm14Au51,Sm,Au,True,3.2266048861330314,0.40212807,0.32758963,0.35040468,0.35040468,0.3600408
mp-1219385,Sm14Au51,Sm,Au,True,2.9259903260907367,0.40505418,0.33145994,0.36479893,0.36479893,0.36710432
